,document,term,tfidf
55101,Alain Delon,distant,0.18020090917986603
55250,Alain Delon,epic,0.17395088663447905
55849,Alain Delon,italian,0.17127019444705432
56992,Alain Delon,successful,0.16115232461026924
55960,Alain Delon,longer,0.16049643454786525
55148,Alain Delon,dutch,0.14651588730631238
57517,Alain Delon,young,0.1388787908312917
55594,Alain Delon,hearted,0.13567173238832014
55157,Alain Delon,early,0.12149303502303022
56242,Alain Delon,old,0.12092901191922983
90018,Alec Guinness,communist,0.2063927382015033
90683,Alec Guinness,good,0.1917026170092256
89667,Alec Guinness,american,0.1889918689318745
90234,Alec Guinness,dirty,0.16511419056120266
91771,Alec Guinness,republican,0.16511419056120266
90698,Alec Guinness,great,0.15684759573482093
90848,Alec Guinness,important,0.14194194368646762
90536,Alec Guinness,fellow,0.13651781541842112
90055,Alec Guinness,conservative,0.13232273368012626
89979,Alec Guinness,clean,0.12383564292090199
7798,Amitabh Bachchan,indian,0.6347841816482331
6585,Amitabh Bachchan,angry,0.1969384957558377
8929,Amitabh Bachchan,social,0.17466316484202293
9052,Amitabh Bachchan,successful,0.14800750619399416
9577,Amitabh Bachchan,young,0.12523166754524878
7671,Amitabh Bachchan,highest,0.11922254021330052
7350,Amitabh Bachchan,exceptional,0.11497489304675443
8511,Amitabh Bachchan,present,0.11304819871374103
9133,Amitabh Bachchan,tere,0.10714895761483881
7187,Amitabh Bachchan,double,0.10218315593178738
103450,Audrey Hepburn,german,0.49367904833433945
104721,Audrey Hepburn,sexual,0.19353916246707517
104852,Audrey Hepburn,spoken,0.1850496575296145
105247,Audrey Hepburn,unpredictable,0.1850496575296145
105381,Audrey Hepburn,volatile,0.17641232353010478
104545,Audrey Hepburn,renowned,0.16893032449636633
103223,Audrey Hepburn,evil,0.15108680124922164
103852,Audrey Hepburn,legendary,0.13757406659848634
105334,Audrey Hepburn,various,0.13688071594969417
102801,Audrey Hepburn,communal,0.12330341917980163
162196,Barbara Stanwyck,scottish,0.48586088652966736
160716,Barbara Stanwyck,eon,0.15093001656835753
161010,Barbara Stanwyck,great,0.14680817777471472
162209,Barbara Stanwyck,secret,0.1436064778761394
162365,Barbara Stanwyck,spanish,0.13422796339426177
160187,Barbara Stanwyck,british,0.12952664732613212
161218,Barbara Stanwyck,industrial,0.12715995892856283
161724,Barbara Stanwyck,opposite,0.12049384159459228
160625,Barbara Stanwyck,early,0.12002530497501808
161705,Barbara Stanwyck,official,0.10958907046632088
45320,Bette Davis,consultive,0.16267568796275328
45341,Bette Davis,cooperative,0.16267568796275328
45179,Bette Davis,catholic,0.15152977491691674
46247,Bette Davis,irish,0.15152977491691674
45839,Bette Davis,floral,0.1476890128181185
46364,Bette Davis,local,0.1357416560555483
45780,Bette Davis,favorite,0.13026334444704762
45569,Bette Davis,early,0.12936591079553222
45612,Bette Davis,elegant,0.11637145298266242
46288,Bette Davis,known,0.11637145298266242
10404,Brigitte Bardot,dutch,0.50224458826454
