,document,term,tfidf
296594,Alain Delon,film,0.21425709764367706
303554,Alain Delon,role,0.1606928232327578
300197,Alain Delon,mister,0.15999985378772724
304943,Alain Delon,starred,0.1424061936715665
293001,Alain Delon,career,0.13008466642651823
296922,Alain Delon,frances,0.1204597177654624
298781,Alain Delon,isbn,0.11560896899778542
296607,Alain Delon,films,0.11478058802339842
291578,Alain Delon,appeared,0.10892907101694939
305690,Alain Delon,television,0.106747685052869
484507,Alec Guinness,film,0.2356575771917242
491467,Alec Guinness,role,0.16692411717747133
495007,Alec Guinness,wayne,0.15125476212365516
489673,Alec Guinness,played,0.10982505507129624
483395,Alec Guinness,duke,0.10820139542244858
480835,Alec Guinness,cancer,0.09237682984437827
479491,Alec Guinness,appeared,0.08985686324015146
487100,Alec Guinness,lead,0.08855748581086596
487247,Alec Guinness,life,0.08837159144689657
478957,Alec Guinness,actor,0.08774310253011867
40349,Amitabh Bachchan,film,0.39421135476172653
40362,Amitabh Bachchan,films,0.1787091474919827
40353,Amitabh Bachchan,filmfare,0.1559205859521061
47309,Amitabh Bachchan,role,0.15242839050786758
34799,Amitabh Bachchan,actor,0.12709240450861337
45511,Amitabh Bachchan,playback,0.11566679882658681
36345,Amitabh Bachchan,box,0.11225562708877718
44641,Amitabh Bachchan,office,0.11225562708877718
35224,Amitabh Bachchan,angry,0.09921061989346885
40141,Amitabh Bachchan,family,0.09712943824795146
552814,Audrey Hepburn,fiend,0.218434783816009
552839,Audrey Hepburn,film,0.1985230516823719
554041,Audrey Hepburn,herzog,0.16382608786200675
547289,Audrey Hepburn,actor,0.11739709857095477
548173,Audrey Hepburn,autobiography,0.11247514252123034
558686,Audrey Hepburn,published,0.10932044394502612
555254,Audrey Hepburn,kinski,0.1092173919080045
556719,Audrey Hepburn,münchen,0.1092173919080045
558427,Audrey Hepburn,prisoners,0.1092173919080045
551222,Audrey Hepburn,difficulties,0.1003701265580929
857661,Barbara Stanwyck,connery,0.771796054947876
860333,Barbara Stanwyck,film,0.17598575505892933
856257,Barbara Stanwyck,bond,0.11646877708527303
867293,Barbara Stanwyck,role,0.11160072272029664
861049,Barbara Stanwyck,golf,0.08704787649402902
865499,Barbara Stanwyck,played,0.07419611375427906
869366,Barbara Stanwyck,tax,0.07189900948317293
869642,Barbara Stanwyck,time,0.06867736782787486
860346,Barbara Stanwyck,films,0.06438503233863269
861569,Barbara Stanwyck,hill,0.06366478189633046
250913,Bette Davis,princess,0.4887032595532447
249014,Bette Davis,monaco,0.22896368857685304
245345,Bette Davis,film,0.19248526577429156
246098,Bette Davis,grace,0.19159727656238626
250911,Bette Davis,prince,0.1262497519755307
251514,Bette Davis,rear,0.10877727286751988
245178,Bette Davis,fashion,0.10507993455739222
255990,Bette Davis,window,0.09827468672291914
247715,Bette Davis,kelly,0.09645203087345595
251386,Bette Davis,rainier,0.0915854754307412
59619,Brigitte Bardot,isbn,0.27761412213876835
57432,Brigitte Bardot,film,0.17878372825272956
64392,Brigitte Bardot,role,0.14898644021060797
58619,Brigitte Bardot,hepburn,0.12508640945447844
57224,Brigitte Bardot,family,0.11336496886828128
52893,Brigitte Bardot,ballet,0.11048983991688945
57265,Brigitte Bardot,fashion,0.10943042258776497
66741,Brigitte Bardot,time,0.0943580788000517
52870,Brigitte Bardot,bafta,0.09379943228126955
57370,Brigitte Bardot,ferrer,0.08742916407441241
468036,Cary Grant,gielgud,0.4097752266121549
472585,Cary Grant,play,0.16587139352915511
472590,Cary Grant,played,0.16321593615310986
467424,Cary Grant,film,0.15160041798275478
473057,Cary Grant,production,0.13593878184402877
474997,Cary Grant,shakespearean,0.13442957590931684
475732,Cary Grant,stage,0.13307276874337398
474384,Cary Grant,role,0.12484740304462158
471744,Cary Grant,olivier,0.11230681718291158
472332,Cary Grant,performance,0.10312597243340114
378279,Clark Gable,cagney,0.5298809149380258
382009,Clark Gable,film,0.29238717080163856
391318,Clark Gable,time,0.12383456645716456
382514,Clark Gable,gangster,0.10134980999255987
385787,Clark Gable,movie,0.09760818493235948
388969,Clark Gable,role,0.09631577391112799
390597,Clark Gable,studio,0.09301807151975884
381827,Clark Gable,farm,0.08969089932568257
379469,Clark Gable,contract,0.0841592075654961
380453,Clark Gable,dirty,0.07972524384505117
175988,Claudette Colbert,eastwood,0.6974772956589956
177013,Claudette Colbert,film,0.3720789627308563
175443,Claudette Colbert,directed,0.1084316446297771
175457,Claudette Colbert,dirty,0.1064649282847578
187568,Claudette Colbert,western,0.10099517011539455
177026,Claudette Colbert,films,0.0895745651018728
183218,Claudette Colbert,received,0.08238879114622875
172718,Claudette Colbert,best,0.07940312523418115
179257,Claudette Colbert,jazz,0.07617038194316299
175450,Claudette Colbert,director,0.06890351161682523
326455,Clint Eastwood,bergman,0.4530383699120873
330760,Clint Eastwood,film,0.27310346092496296
332634,Clint Eastwood,ingrid,0.18774164521929734
337975,Clint Eastwood,scandal,0.13461251358660992
335926,Clint Eastwood,played,0.11645213097965955
325212,Clint Eastwood,actress,0.11233760650191148
341465,Clint Eastwood,woman,0.1058792694151945
337720,Clint Eastwood,role,0.10571746874514695
330773,Clint Eastwood,films,0.09690767968305138
335921,Clint Eastwood,play,0.09217391894611704
267281,Doris Day,peck,0.8754738589303653
262428,Doris Day,film,0.20730807634542348
267336,Doris Day,performance,0.0988809068164998
269229,Doris Day,reviews,0.07041629204844503
266206,Doris Day,movie,0.07035415772575106
263258,Doris Day,gregory,0.06902896426848361
266059,Doris Day,mockingbird,0.06902896426848361
260186,Doris Day,critics,0.05770671109991798
269388,Doris Day,role,0.05758557676261763
268883,Doris Day,release,0.052812219036333784
911582,Elizabeth Taylor,film,0.30478537956569735
916827,Elizabeth Taylor,poitier,0.28240433989756913
907376,Elizabeth Taylor,black,0.22206299587480277
906032,Elizabeth Taylor,actor,0.18550563596908431
917787,Elizabeth Taylor,received,0.14821547308358593
917630,Elizabeth Taylor,raisin,0.14120216994878457
919931,Elizabeth Taylor,starred,0.11609613358038166
919416,Elizabeth Taylor,sir,0.11483804725411723
922223,Elizabeth Taylor,win,0.10450023335284837
906325,Elizabeth Taylor,alongside,0.10328070242425257
211179,Gary Cooper,film,0.33117629241724206
205837,Gary Cooper,aids,0.24062003904725351
212453,Gary Cooper,hiv,0.15268751536702246
220216,Gary Cooper,taylor,0.14949458780054833
218139,Gary Cooper,role,0.11463794737519918
214513,Gary Cooper,media,0.11390795944690364
211192,Gary Cooper,films,0.11039209747241403
207586,Gary Cooper,career,0.10614624756962887
213443,Gary Cooper,jewellery,0.10357473392152404
206793,Gary Cooper,began,0.09657539765877547
591325,Grace Kelly,olivier,0.8804526831157736
587005,Grace Kelly,film,0.11260984288815698
593965,Grace Kelly,role,0.09571836645493344
592638,Grace Kelly,production,0.08287018089724853
581455,Grace Kelly,actor,0.07892398180690335
584136,Grace Kelly,company,0.07705985333485094
592166,Grace Kelly,play,0.07418294193630996
595313,Grace Kelly,stage,0.07053553526836666
592171,Grace Kelly,played,0.05343449525921142
593966,Grace Kelly,roles,0.04770937076715306
786763,Gregory Peck,alzheimer,0.3422969047083171
792001,Gregory Peck,film,0.1656202093792436
790516,Gregory Peck,disease,0.12278200441768386
795217,Gregory Peck,married,0.11614055712680299
789899,Gregory Peck,dance,0.10786736068605496
790364,Gregory Peck,did,0.1045265014141227
797569,Gregory Peck,princess,0.10431826117021739
789461,Gregory Peck,contract,0.10295608421886454
793086,Gregory Peck,haymes,0.1005416871545193
