,document,term,tfidf
448601,Alain Delon,fonda,0.8609159262960138
451650,Alain Delon,jane,0.08623679653804385
458979,Alain Delon,roberts,0.0818047445115508
448337,Alain Delon,film,0.0772513019439687
450244,Alain Delon,henry,0.07112894897685748
454177,Alain Delon,method,0.06951119864740898
448642,Alain Delon,ford,0.0690086705616635
459035,Alain Delon,role,0.05594059795942562
461252,Alain Delon,stewart,0.05380613986816956
454410,Alain Delon,mister,0.05278530997542062
748132,Alec Guinness,wayne,0.9145843868218098
735851,Alec Guinness,john,0.11057119012200223
732390,Alec Guinness,film,0.07509971868470859
730901,Alec Guinness,duke,0.055665322402696
743088,Alec Guinness,role,0.04817717802415268
738688,Alec Guinness,morrison,0.045294848254085404
724935,Alec Guinness,american,0.042412637545086965
732695,Alec Guinness,ford,0.04160216711465149
727456,Alec Guinness,cancer,0.039252975032301185
747505,Alec Guinness,usc,0.03741834172513629
54440,Amitabh Bachchan,bachchan,0.8652797990345847
53549,Amitabh Bachchan,amitabh,0.18272989544829743
60999,Amitabh Bachchan,filmfare,0.13436021724139516
60992,Amitabh Bachchan,film,0.12609687858623647
63713,Amitabh Bachchan,india,0.09455229184555321
63714,Amitabh Bachchan,indian,0.08320601682408682
52839,Amitabh Bachchan,abcl,0.06379048872063389
55349,Amitabh Bachchan,bollywood,0.05911849558621387
63005,Amitabh Bachchan,hindi,0.05911849558621387
64662,Amitabh Bachchan,kapoor,0.05911849558621387
839573,Audrey Hepburn,kinski,0.8332058012259905
837628,Audrey Hepburn,herzog,0.22026119507630706
839600,Audrey Hepburn,klaus,0.1835509958969226
851510,Audrey Hepburn,werner,0.10825040864078157
835645,Audrey Hepburn,fiend,0.0917754979484613
842319,Audrey Hepburn,nastassja,0.08332058012259906
844232,Audrey Hepburn,pola,0.07732172045770111
843311,Audrey Hepburn,paganini,0.07342039835876903
836563,Audrey Hepburn,german,0.07330119557709373
835682,Audrey Hepburn,film,0.06672765794570303
1296941,Barbara Stanwyck,connery,0.899833273821756
